# SAML22J18 pin mappings.
# This is derived from Section 6.1 "Multiplexed Signals" in the
# DS60001465D datasheet.
#
# The SAML22 has only one TCC, so all pins are empty for TCC2.
# Not included are the PTC, SLCD, RTC, AG and CCL columns.
#
# Special cases:
# PA08 NMI
#
# The pin_cap_tables contain the information anbout pin mux set and pad
# for some of the peripheral devices with many possible assignments.
# The pin_cap_table is a subset from table 7-1 of the data sheet.
# It contain the information about pin mux set and pad
# The eic and adc columns contain the decimal number for the respecitive
# quantity, the columns for sercom, tc and tcc have in each cell
# the device number in the upper nibble, and the pad number in the lower
# nibble. If a signal is not available, the cell in the csv table is left empty.
# The first column is the pin id, not the number of the board pin.
# Rows not starting with pa, pb, pc or pd are ignored.
# When editing the table with a spread sheet, take care to import the data as text.
Pin,EIC,ADC0,SERCOM1,SERCOM2,TCC1,TCC2
PA00,0,,,,,
PA01,1,,,,,
PA02,2,0,,,,
PA03,3,1,,,,
PB04,4,12,,,,
PB05,5,13,,,,
PB06,6,14,,,,
PB07,7,15,,,,
PB08,8,2,30,,,
PB09,9,3,31,,,
PA04,4,4,00,,00,
PA05,5,5,01,,01,
PA06,6,6,02,,,
PA07,7,7,03,,,
PA08,,,00,40,00,
PA09,9,,01,41,01,
PA10,10,,02,42,02,
PA11,11,,03,43,03,
PB11,11,,33,,05,
PA12,12,,40,30,06,
PA13,13,,41,31,07,
PA14,14,,42,32,04,
PA15,15,,43,33,05,
PA16,0,,10,20,06,
PA17,1,,11,21,07,
PA18,2,,12,22,02,
PA19,3,,13,23,03,
PA20,4,,00,22,06,
PA21,5,,01,23,07,
PA22,6,,02,20,04,
PA23,7,,03,21,05,
PA24,12,,22,50,00,
PA25,13,,23,51,01,
PB22,6,,02,52,02,
PB23,7,,03,53,03,
PA27,15,,,,04,
PA30,10,,,12,,
PA31,11,,,13,,
PB02,2,10,30,50,,
PB03,3,11,31,51,,
